tier,zone,zone_id,start_day,end_day,start_hour,end_hour,start_ts,end_ts,max_lceq
1,E,chill,7,8,22,9,2026-07-26 22:00,2026-07-27 09:00,80
1,F,quiet,0,0,9,22,2026-07-19 09:00,2026-07-19 22:00,80
1,F,quiet,0,1,22,9,2026-07-19 22:00,2026-07-20 09:00,50
1,F,quiet,1,1,9,22,2026-07-20 09:00,2026-07-20 22:00,80
1,F,quiet,1,2,22,9,2026-07-20 22:00,2026-07-21 09:00,50
1,F,quiet,2,2,9,22,2026-07-21 09:00,2026-07-21 22:00,80
1,F,quiet,2,3,22,9,2026-07-21 22:00,2026-07-22 09:00,50
1,F,quiet,3,3,9,22,2026-07-22 09:00,2026-07-22 22:00,80
1,F,quiet,3,4,22,9,2026-07-22 22:00,2026-07-23 09:00,50
1,F,quiet,4,4,9,22,2026-07-23 09:00,2026-07-23 22:00,80
1,F,quiet,4,5,22,9,2026-07-23 22:00,2026-07-24 09:00,50
1,F,quiet,5,5,9,22,2026-07-24 09:00,2026-07-24 22:00,80
1,F,quiet,5,6,22,9,2026-07-24 22:00,2026-07-25 09:00,50
1,F,quiet,6,6,9,22,2026-07-25 09:00,2026-07-25 22:00,80
1,F,quiet,6,7,22,9,2026-07-25 22:00,2026-07-26 09:00,50
1,F,quiet,7,7,9,22,2026-07-26 09:00,2026-07-26 22:00,80
1,F,quiet,7,8,22,9,2026-07-26 22:00,2026-07-27 09:00,50
2,A,wild,0,1,9,9,2026-07-19 09:00,2026-07-20 09:00,116
2,A,wild,1,2,9,9,2026-07-20 09:00,2026-07-21 09:00,116
2,A,wild,2,3,9,9,2026-07-21 09:00,2026-07-22 09:00,116
2,A,wild,3,4,9,9,2026-07-22 09:00,2026-07-23 09:00,116
2,A,wild,4,5,9,9,2026-07-23 09:00,2026-07-24 09:00,116
2,A,wild,5,6,9,9,2026-07-24 09:00,2026-07-25 09:00,116
2,A,wild,6,7,9,9,2026-07-25 09:00,2026-07-26 09:00,116
2,A,wild,7,8,9,9,2026-07-26 09:00,2026-07-27 09:00,116
2,B,eveningParty,0,0,9,12,2026-07-19 09:00,2026-07-19 12:00,80
2,B,eveningParty,0,1,12,4,2026-07-19 12:00,2026-07-20 04:00,104
2,B,eveningParty,1,1,4,9,2026-07-20 04:00,2026-07-20 09:00,92
2,B,eveningParty,1,1,9,12,2026-07-20 09:00,2026-07-20 12:00,80
2,B,eveningParty,1,2,12,4,2026-07-20 12:00,2026-07-21 04:00,104
2,B,eveningParty,2,2,4,9,2026-07-21 04:00,2026-07-21 09:00,92
2,B,eveningParty,2,2,9,12,2026-07-21 09:00,2026-07-21 12:00,80
2,B,eveningParty,2,3,12,4,2026-07-21 12:00,2026-07-22 04:00,104
2,B,eveningParty,3,3,4,9,2026-07-22 04:00,2026-07-22 09:00,92
2,B,eveningParty,3,3,9,12,2026-07-22 09:00,2026-07-22 12:00,80
2,B,eveningParty,3,4,12,4,2026-07-22 12:00,2026-07-23 04:00,104
2,B,eveningParty,4,4,4,9,2026-07-23 04:00,2026-07-23 09:00,92
2,B,eveningParty,4,4,9,12,2026-07-23 09:00,2026-07-23 12:00,80
2,B,eveningParty,4,5,12,4,2026-07-23 12:00,2026-07-24 04:00,104
2,B,eveningParty,5,5,4,9,2026-07-24 04:00,2026-07-24 09:00,92
2,B,eveningParty,5,5,9,12,2026-07-24 09:00,2026-07-24 12:00,80
2,B,eveningParty,5,6,12,8,2026-07-24 12:00,2026-07-25 08:00,104
2,B,eveningParty,6,6,8,9,2026-07-25 08:00,2026-07-25 09:00,92
2,B,eveningParty,6,6,9,12,2026-07-25 09:00,2026-07-25 12:00,80
2,B,eveningParty,6,7,12,8,2026-07-25 12:00,2026-07-26 08:00,104
2,B,eveningParty,7,7,8,9,2026-07-26 08:00,2026-07-26 09:00,92
